,sentence,aspect_term,polarity,from,to
29,"We received our food and coffee at the same time, and couldn't get the attention of any waiter to refill our cups.",waiter,negative,88,94
30,"We arrived on a Thursday night at 6:30 and were seated immediately (they don't take reservations), but, this small place filled up very quickly, and the bar was overflowing with people when we left.",place,negative,115,120
31,"Although the tables may be closely situated , the candle-light , food-quality and service overcompensate .",candle-light,positive,50,62
32,"After being told that our party of three would be seated in 10 minutes and watching other parties (multiples of 2 and higher) seated for 40 minutes, the three of us were squished into a small 2-person table.",2-person table,negative,192,206
33,When we finally had to see the manager because I had lemon juice spilled on me from the waiter- she even took over 10 minutes to come to the table.,manager,negative,31,38
34,"One friend had the steak which he didn't care for, but after waiting so long to be seated he was hungry.",waiting,negative,61,68
35,Who has room for Cheesesticks with the best pizza in NYC !,pizza,positive,44,49
36,I felt the chef was using truffles too much just to cover up mediocre food.,truffles,neutral,26,34
37,"The Scene With its long zinc bar, plush couches and patterned suede walls, the lounge is a swank spot for midtown's cocktail crowd.",bar,neutral,29,32
38,"Immediately after we paid , the waiter took the money and said , okay , you guys are outta here .",waiter,negative,32,38
39,My wife had the fried shrimp which are huge and loved it.,fried shrimp,positive,16,28
40,"I ordered a dirty martini that was not dirty at all-and when I asked the waitress to make it dirtier, instead of reshaking/making it at the bar, she broght me over some olive juice in a cup!?",martini,negative,18,25
41,The manager came over to our table at the end of our entree course to get our review.,entree,neutral,53,59
42,Conversation went like this: waiter: presented the steak and said 'Meduim well',waiter,negative,29,35
43,The staff members are extremely friendly and even replaced my drink once when I dropped it outside.,staff members,positive,4,17
44,The seafood is out of this world and priced accordingly.,accordingly,neutral,44,55
45,The steak was very fatty and the sauce was overpowering and not very tasty.,steak,negative,4,9
46,"The owner was rude to us from the moment we sat down until he told us we had to leave because he had another table waiting, and this despite ordering the pricier entrees from the menu and a bottle of wine that we hadn't yet finished.",owner,negative,4,9
47,"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",food,neutral,48,52
48,"Accompaning fish or meat are some hefty side dishes such as white rice, black beans, yucca, radish, tomato, and green pepper salad, or plaintains cooked a variety of different ways.",white rice,neutral,60,70
49,"The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she 's - way-cuter-than-me-that-b @ # $ * way ) .",wait staff,positive,4,15
50,"I ordered chicken vindaloo, the delivery took about an hour, and it cost me $13 with tip.",cost,negative,68,72
51,i 've been back to nha trang literally a hundred times for the beef cubes - they 're that good .,beef cubes,positive,63,74
52,Easily the worst stir-fried squid I 've ever tasted .,stir-fried squid,negative,17,34
53,It has the most authentic Mexican found I have found in the Metro area and the margaritas are outstanding.,area,neutral,66,70
54,"Toons has recently been redone, so it's now a very attractive space.",space,positive,62,67
55,I went for dinner at Lucy the other night with five friends and it was the best experience I've had in a long time.,time,negative,110,114
56,"The service, however, is a peg or two below the quality of food (horrible bartenders), and the clientele, for the most part, are rowdy, loud-mouthed commuters (this could explain the bad attitudes from the staff) getting loaded for an AC/DC concert or a Knicks game.",quality of food,positive,48,63
57,I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.,drink,neutral,60,65
58,"After paying for our meal, we left some feedback with the manager (a chap named J.",manager,negative,58,65
59,"We all had the tasting menu and unlike some of the other reviews, I felt there was more than enough food.",menu,positive,23,27
60,The centerpiece of the menu is a range of sushi and sashimi sets: standard pieces and rolls that are adequately fresh and reliable.,menu,neutral,23,27
61,Besides their unique wood grilled kalbi or bulgoki (bbq) I'm not too fond of their traditional Korean dishes.,wood grilled kalbi,positive,21,39
62,I ate here a week ago and found most dishes average at best and too expensive .,dishes,negative,37,43
63,"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish .",soy sauce,negative,56,66
64,Total hipster-wannabe attitude in an otherwise sweet spot .,spot,positive,53,57
65,my personal favorite is the meat pie (which uses meat sauce instead of regular marinara sauce).,meat sauce,neutral,49,59
66,"Walked in on Chinese New Year Sunday late in the afternoon, around 5 or 6 -- seating was not a problem the dim sum was deliciously fresh -- very likely a by-product of their not using carts.",seating,neutral,77,84
67,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",Lobster Cobb Salad,neutral,100,118
68,"their Stella on tap was almost flat, i saw the bartender whisking our beers to give them any sort of head.",tap,neutral,16,19
69,"The service was bad , the food took to forever to come , we sat on the upper level .",service,negative,4,11
70,"Behind this counter , two men are squeezed in .",counter,negative,12,19
71,I just had dinner there with my girlfriend and we had the best time.,dinner,neutral,11,17
72,Here you get the zen feel without feeling rigid.,zen feel,positive,17,25
73,"The manager, typical machissimo italian businessman, sat outside with his chef scowling and smoking -- an uncomfortable dining experience.",chef,neutral,74,78
74,"Although the food was good, the way our waiter treated us was so rude and bad-mannered that it almost ruined our night and he even asked us to give him a better tip!!!",waiter,negative,40,46
75,"Nice decor and an extensive menu lured me in, but the horrible service and rude staff drove me out.",staff,negative,80,85
76,"The food arrived 20 minutes after I called, cold and soggy.",food,negative,4,8
77,"The music was fascinating, but left room for conversation, and the bartender made superb drinks.",music,positive,4,9
78,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic , just simple , small and sparse .",decor,neutral,4,9
79,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",Boton Shrimp,neutral,99,111
80,"They have a great selection of wines, and have recently expanded with a Wine Bar around the corner that's accessible through the main dining room.",Wine Bar,neutral,72,80
81,I am hoping the stale service was a one shot deal because it was deplorable for what we paid for dinner!,service,negative,22,29
82,"For dessert the pecan pie, comes warm with whip cream.",dessert,positive,4,11
83,"We went ot Al di La a bit earlier than we usually go to dinner, mainly due to the fact that reservations are not accepted.",dinner,neutral,56,62
84,"the wait for our drinks, appetizers and food was very long, the food was mediocre, and it was a bit pricey.",wait,negative,4,8
85,"It saves walking in and waiting for a table in the often noisy , crowded bar at dinnertime .",bar,negative,73,76
86,Wow over 100 beers to choose from .,beers,positive,13,18
87,The only thing whihc i (and my partner) never heard before was: the waitress mentioned the price of the specials (?,waitress,negative,68,76
88,"Not being familiar with Vietnamese cuisine, we found the menu descriptions very helpful.",menu,positive,57,61
89,"The Scene The consistent lines at this bustling Japanese tapas hot spot don't lie: Yokocho's fresh, reasonably priced comfort food and social atmosphere draw a youthful clientele of cultural natives and gaijin alike.",Scene,neutral,4,9
90,I was pretty much full after our fondue appetizer.,fondue appetizer,neutral,33,49
91,i do n't usually order wine with indian so i ca n't comment on their wine list or their wines .,wine,neutral,23,27
92,Went to dinner with some girlfriends on Wednesday at Calico Jacks and had a fun time.,time,positive,80,84
93,"This closet-sized little eatery has a great collection of wine, by the glass, carafe, and bottle.",glass,neutral,71,76
94,We actually enjoy eating there earlier for lunch definatly a more relaxed atmosphere.,atmosphere,positive,74,84
95,How can they survive serving mediocre food at exorbitant prices?!,prices,negative,57,63
96,"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",dinner,neutral,6,12
97,"The drinks are a saving grace , but service staff , please , get over yourselves .",service staff,negative,36,50
98,I would love the owner to consider hosting a 'tango bar' once - twice a week.,owner,positive,17,22
99,"Without another word when we arrived, they added a chocolate decoration saying Happy Anniversary to our desserts.",desserts,neutral,104,112
100,Just walking past this establishment during dinner hours will make you dream of garlic empowered sauce covering a tender veal cutlet.,dinner,neutral,44,50
101,"After a short wait at the bar (which was very crowded), we were seated upstairs at a private table.",bar,negative,26,29
102,"The staff is warm and friendly, and the bartender makes an awesome drink with something called pisco.",staff,positive,4,9
103,The food was good but not worth the price.,price,negative,36,41
104,Food is always fresh and hot- ready to eat!,Food,positive,0,4
105,Yoguart/mint/jalipeno sauce for instance didn't work with asparagus.,asparagus,neutral,58,67
106,"There are few tables; most likely, you'll be seated at the bar or on a stool facing the wall.",bar,neutral,59,62
107,"The portion sizes here are huge , and the sushi is good .",portion sizes,positive,4,18
108,The atmosphere was really nice and inviting but our waiter was awful!,waiter,negative,52,58
109,one of the best Chicken Tikka Masala .,Chicken Tikka Masala,positive,16,38
110,"The waiters do not pay any attention to the customers, instead sit at the bar and watch TV.",waiters,negative,4,11
111,the tables are in the back and the ambience was less to be desired.,tables,neutral,4,10
112,Be careful of portions - they 're HUGE .,portions,positive,14,22
113,"She then sent over the owner, and his only recourse was to give us a free bottle of sparkling wine.",owner,positive,23,28
114,The service is a little scatty at times but all is forgiven when the food arrives.,service,negative,4,11
115,Our server (after 4 reminders) finally got around to getting our cocktail orders during the meal (at a time when the establishment was not full).,cocktail,neutral,65,73
116,"My favorite was the apple dessert, which came with little squares of pear and apple jelly.",apple jelly,neutral,78,89
117,"This place is so very nearly achieving, but in the mean time, my advice - eat early elsewhere, then take your seat, order a bottle of wine and enjoy the performance and the ambience.",ambience,positive,173,181
118,"The space is small and they don't take reservations, but go next door to the bar while you wait and have some very yummy sakatini's that are made with fresh fruit.",space,negative,4,9
119,"Desserts were pleasent enough, if not trying way to hard on presentation, lacking portions and interest.",portions,negative,82,90
120,I went back (with my cold soups) They said they would have to make me another dish since they couldn't scrape off the unwanted ingredients.,ingredients,negative,127,138
121,I stopped by for some brunch today and had the vegan cranberry pancakes and some rice milk.,brunch,neutral,22,28
122,As the waitress cleaned the table in a rush she knocked over a party bag containing a glass bottle with bath oil.,waitress,negative,7,15
123,"Additionally, one of the waiters found it necessary to walk around the restaurant, telling people how to eat their food.",food,neutral,115,119
124,*There is a pre-theatre dinner menu for early diners that is of great value.,diners,neutral,46,52
125,We always have a delicious meal and always leave feeling satisfied .,meal,positive,27,31
126,This is an amazing place to try some roti rolls.,roti rolls,positive,37,47
127,It is kinda nosiy and the tables are close together but it 's still a beautiful place to enjoy a nice dinner .,tables,negative,26,32
128,After I have my dinner I try to talk to the manager and let him know that he had very good workers and that he should be more considerate with them and the answer that I got from him was (THey can leave I don't care).,dinner,neutral,16,22
129,Our waitress was so helpful with the wine list.,waitress,positive,4,12
130,The food is OK but I have to ask WHY they serve noodles with steak???,noodles with steak,neutral,48,66
131,"A simple shrimp seviche with fresh cocktail sauce shines on the lunch menu, while dinner items tend to be more sophisticated, such as turkey filet mignon with bacon and a bold mole negro.",lunch menu,neutral,64,74
132,Hunan Delight has one page in their menu full of Vegetarian dishes.,Vegetarian dishes,positive,49,66
133,"When he's not making authentic Neapolitan pizza in the open brick oven or lightly frying zucchini blossoms, he's visiting the regulars (a growing legion) and checking on newcomers.",Neapolitan pizza,positive,31,47
134,"And the ambience is very cool, stop by on a Saturday afternoon and you can play some old school games while having a beer.",ambience,positive,8,16
135,"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.",tables,neutral,14,20
136,"Sometimes people get up and dance, overall a pretty fun spot, although the crowd does tend to be over 30.",spot,positive,56,60
137,When I was there with a friend the waiter who served us was pretty friendly.,served,neutral,46,52
138,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",wait,negative,4,8
139,The menu has lots of options : I hope to go back to try those potato pancakes .,menu,positive,4,8
140,"Lunch came with pickels and slaw, no extra charge.",pickels and slaw,neutral,16,32
141,I asked one waitress if I could change tables and she didn't say no outright.,tables,neutral,39,45
142,"The waiter, Momir, was on top of everything the whole time-not to mention entertaining us by constantly hitting on the two blond souther girl sitting at the table next to us-- and the free wine and after dinner espressos were much appreciated.",waiter,positive,4,10
143,"Although the food what adequate, the service was preposterous.",food,positive,13,17
144,"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",Meat dishes,neutral,0,11
145,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan .,cold appetizer dishes,positive,4,27
146,"For entrees, we all had the steak frites and it was to die for.",entrees,neutral,4,11
147,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .",Barbecued codfish,positive,0,18
148,Our waiter was stuffed with attitude and didn't bother explaining things on the menu that he clearly knew we could not understand.,waiter,negative,4,10
149,i had a horrible experience with a waiter while trying to have breakfast friday morning.,waiter,negative,35,41
150,The decor is like a brasserie and has a fairly laid-back atmosphere.,atmosphere,positive,57,67
151,"It's a quiet crowd but if you just want to relax, get a bottle of wine and some great tapas, this is the place.",bottle of wine,neutral,56,70
152,"Orsay, is a very pleasnt throw back to traditional French food, and French service as well.",French food,positive,51,62
153,"The food is very good for it 's price , better than most fried dumplings I 've had .",fried dumplings,negative,57,73
154,We always get a sampling of appetizers and share .,appetizers,neutral,28,38
155,"Every time I eat there I feel as if the chef and waitstaff have cooked, prepared and served a meal as if I am the only customer/guest.",waitstaff,positive,49,58
156,"The kitchen also offers just a few sushi-free entree options, such as a masterful tempura dinner and chicken or salmon teriyaki.",chicken,neutral,101,108
157,Extremely RUDE servers who intially took our order and never returned with drinks or to see if we required anythign else.,drinks,neutral,75,81
158,There are some reviews complaining about the menu but I had the same dish the first three times that I was there - and any specials that I have had have been excellent.,specials,positive,123,131
159,After a show we had surperb steaks and had cocktails at the bar.,cocktails,neutral,43,52
160,The waiter came back after I had finished my appetizer to correct himself and let me know that it wasn't vegetarian (chicken stock) after all.,waiter,negative,4,10
161,"Although the prices is a bit on the high, you do get big portions for it.",portions,positive,57,65
162,"it's a joy to watch the chef work, who refused to take my order but seeing him open my live scallop made me understand why.",live scallop,neutral,87,99
163,"I had the lentils and cous cous for lunch the next day because my friend and I had appetizers before our entrees-- portions are pretty decent for the price, and tasty to boot.",portions,positive,115,123
164,We were a group of 8 and well seved .,seved,positive,30,35
165,"i've had better mashed potatoes from a box, and the vegetables were soaked in oil.",box,neutral,39,42
166,The people in the restaurant were pretty obnoxious and loud .,people,negative,4,10
167,Wait staff is blantently unappreciative of your business but its the best pie on the UWS !,Wait staff,negative,0,11
168,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,Traditional French decour,positive,0,27
169,Our waitress had a French accent and her caring and knowledgeable attitude she discplayed with each table led us to beleive she was the owner.,owner,neutral,136,141
170,Order the porterhouse and they put it between you and you kind of eat family style at a wooden table.,style,positive,77,82
171,"Like the other reviewer said, have a Mojito and enjoy the sugarcane.",sugarcane,positive,58,67
172,"We were on our way back to NJ , and since I am in NY , we figured why not grab some food ?",food,neutral,84,88
173,"Let me count the problems: music so loud it hurt, sticky unclean tables, the waitress took a long time to take our order, and then didn't bring a glass for the beer.",glass,neutral,146,151
174,I came in for brunch with my parents on Saturday and the place was packed.,brunch,neutral,14,20
175,"While we thoroughly enjoyed the food , it was annoying to scream across the table for conversation .",food,positive,32,36
176,I really loved the different and inovated touch that 's the cheff gives to the food .,cheff,positive,60,65
177,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",chicken dish,negative,28,40
178,"After I paid for my purchase, I noticed they had not given me utensils so I could eat my pie.",utensils,neutral,62,70
179,Once we had our menus we were nearly assaulted by wait staff asking if we were ready to order.,menus,neutral,16,21
180,you can actually get 2 salads worth if u take it home and add it to some lettuce !,salads,negative,23,29
181,The host actually came over to my table and told me and my date we had to leave because we already paid our bill.,table,neutral,34,39
182,"The food was not very tasty , the portioins were tiny even for such a high quality restaurant .",food,negative,4,8
183,I can only say that the soup dumplings are almost as good as Joe's Shanghai and some dishes I had (like Eight Spice appetizer) were tasty while others (Shanghai style Shumai) were less so.,style,neutral,161,166
184,"Specialty drinks--alcoholic and non--arrive in skull mugs or mini-canteens, nifty take-home souvenirs.",souvenirs,positive,92,101
185,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",bacon,negative,21,26
186,All in all the food was above average and I would return to see how they operate with four or less dinners .,food,positive,15,19
187,After we finished our salad our waitress told us that they had run out of roast lamb and pastitichio.,waitress,negative,32,40
188,The waiter never came by to check on us after the bus boy brought us our food.,food,neutral,73,77
189,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",service,negative,84,91
190,"While the room is not particularly comfortable, once you're seated you'll forget about everything except what's on your plate.",room,negative,10,14
191,"We had to ask the busboy if bread came with our meal, which it did and we received after waiting about 30 minutes.",waiting,negative,89,96
192,I can not imagine a friendlier staff working in a restaurant .,staff,positive,31,36
193,A cool place to hang with your friends for a couple of healthy drinks and desserts .,place,positive,7,12
194,"The production is a symphony, alot of fun to experience.The food sublime for the most part.",food,positive,60,64
195,"While the room is not particularly comfortable , once you 're seated you 'll forget about everything except what 's on your plate .",plate,positive,124,129
196,Despite the confusing mirrors this will likely be my go-to for modern Japanese food for the foreseeable future .,mirrors,negative,22,29
197,"I like Mamoun 's food as well , but side by side , Kati Rolls just produce tastier food hands down .",food,positive,17,21
198,"And forget what you read under me, the atmosphere isn't that bad either.",atmosphere,neutral,39,49
199,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai .,beef,negative,16,20
200,The real problem I had with this place was the complete lack of service .,service,negative,64,71
201,"You would think they would make up for it with service , sadly , no .",service,negative,47,54
202,"Po has the best food in NY, if you don't mind a wait.",wait,neutral,48,52
203,The food was very expensive ( we spent $ 160 for lunch for two ) but extremely tasty .,lunch,negative,49,54
204,"To enhance the dining experience, there is a live jazz band, which further isolates you from the world outside the gates.",dining,positive,15,21
205,"it was really good, but i also mistakenly chose the lobster course as my entre and it turned out to be the same dish as my appetizer (but warmed).",appetizer,positive,123,132
206,"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.",bar,neutral,36,39
207,"The menu of upscale American fare is somewhat intimidating as there are almost too many choices, but our wonderful waiter Eric came to the rescue suggesting and describing specials as if he had just polished off dinner himself.",waiter,positive,115,121
208,"With some good sake, I tried the salmon, yellowtail, king crab, eel (thought this would turn my stomach), red white tuna.",salmon,neutral,33,39
209,Simple comfort food and what hot and lage portions .,comfort food,positive,7,20
210,The food is simply remarkable as is the fiery female master sommelier!,sommelier,neutral,60,69
211,Watch the talented belly dancers as you enjoy delicious baba ganoush that 's more lemony than smoky .,baba ganoush,positive,56,69
212,Service is wonderful- I've sat there for over 3 hours at dinner and never felt rushed to leave.,Service,positive,0,7
213,The food itself was just ok - nothing spectacular - but the service was awful.,service,negative,60,67
214,"This place is so very nearly achieving, but in the mean time, my advice - eat early elsewhere, then take your seat, order a bottle of wine and enjoy the performance and the ambience.",bottle of wine,neutral,124,138
215,The main entree was also very good .,main entree,positive,4,16
216,"the dinner menu offers a variety of great entrees, including fresh seafood and huge steaks, there's also a couple of non-meat alternatives.",non-meat alternatives,neutral,117,138
217,We would have to flag down the bored looking wait staff to refill our tea.,wait staff,negative,45,55
218,"In addition, our waiter seemed to have short-term memory loss because he kept forgetting to bring us our drink order even after I asked him on three separate occasions.",waiter,negative,17,23
219,"The wait staff rushed us through our meal, took away our food before we were finished (even though we told them we were still eating) and then, as we were lingering over the bill, asked us to leave.",wait staff,negative,4,14
220,"our appetizers came out relatively quickly, but it was near impossible to get a hold of a waiter to order and get our drinks.",drinks,neutral,118,124
221,"Upon entering , we were greeted by the owners , Steven and Frederick , who went out of their way to be more than gracious hosts .",owners,positive,39,45
222,"So if you want a nice , enjoyable meal at Montparnasse , go early for the pre-theater prix-fixe .",meal,positive,34,38
223,I like how the ambiance changes from the cafeteria style of lunch to a sit down dinner in romantic lighting.,ambiance,positive,15,23
224,"With 5 items on the menu and prices this low, you'd think turnover would be a priority -- think again!!!",menu,neutral,20,24
225,"We received our food and coffee at the same time, and couldn't get the attention of any waiter to refill our cups.",waiter,negative,88,94
226,"Although the food was good, the way our waiter treated us was so rude and bad-mannered that it almost ruined our night and he even asked us to give him a better tip!!!",waiter,negative,40,46
227,"As for the main attraction, the pies are known for their crisp outer edge and gooey middle, and feature the unorthodox layering of sauce over mozzarella.",layering,neutral,119,127
228,But who says Murray 's is anything about service .,service,neutral,41,48
229,"After sitting at the table with empty glasses for a 1/2 hour, we had to ask the busboys to get us drinks as our waiter was nowhere to be found.",waiter,negative,112,118
230,"Service was slow , but the people were friendly .",Service,negative,0,7
231,"When I had my dinner, the appetizers were flawless (try the carciofi and the polpettini), the entree was succulent (and fun having the branzino fileted at the table), and the tiramisu.",carciofi,positive,60,68
232,My steak au poivre was one of the worst I 've had .,steak au poivre,negative,3,20
233,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,food,negative,37,41
234,"Since then, he cannot get enough of their salmon roll, and spicy tuna roll.",salmon roll,neutral,42,53
235,Stumbled unto this little gem early one saturday afternoon and was thoroughly pleased with the wonderful little backyard.,backyard,positive,112,120
236,"The place is small, but loaded with plenty of goodies that range from Italian inspired treats to Greek pastries all well prepared.",place,negative,4,9
237,"our waitress (who was ok) disappeared in the middle of our dinner, leaving us to an obnoxious amateur (must answer the phones or something) who could not answer our questions and treated us extremely rudely.",waitress,negative,4,12
238,"I only had lunch here, but i had great shrimp and a spectacular lobster, and the dessert was heavenly.",lunch,neutral,11,16
239,Price and quality of fish alone will keep us from making a return visit .,Price,negative,0,5
240,The exotic food is beautifully presented and is a delight in delicious combinations .,exotic food,positive,4,16
241,"Stick to the items the place does best, brisket, ribs, wings, cajun shrimp is good, not great.",brisket,positive,40,47
242,We enjoyed ourselves thoroughly and will be going back for the desserts ....,desserts,positive,63,71
243,We had the lobster sandwich and it was FANTASTIC .,lobster sandwich,positive,11,28
244,The service was on point - what else you would expect from a Ritz?,service,positive,4,11
245,They have a very diverse menu so its something for everybody.,menu,positive,25,29
246,"After dinner I walked over to the cheese counter -after having been greeted by a rude server, I was shocked to see how dissapointing their cheese selection was: it is miniscule, many of the fresh chevre cheese were more than ready to be tossed, etc.",server,negative,86,92
247,"My date enjoyed his food, he had some type of jambalaya dish.",dish,neutral,56,60
248,Only con was the cost -- our dinner for two was $400!,dinner,neutral,29,35
249,Anyway after witnessing the owner abusing some of the staff and scarfing down the college dorm made pasta we left; the momentum of the night gone we were all drained from the bad dining experience and just went home.,owner,negative,28,33
250,"Not only was the sushi fresh, they also served other entrees allowed each guest something to choose from and we all left happy (try the duck!",entrees,neutral,53,60
251,"The sexy waiter suggested the Pineapple Basil ( I Know is sounds yucky, but MMMM) Martini.",waiter,positive,9,15
252,The atmosphere was a little less than inviting as the tables are close together and I could hear the brother/sister couple next to us arguing (although this did provide entertainment for the evening).,entertainment,neutral,169,182
253,Top it off with one of many Polish bottled beer and youre in food heaven.,food,positive,61,65
254,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,containers,neutral,194,204
255,"(We did make reservations, since we had a group of 8, but had a short wait when arriving a little early.",wait,negative,70,74
256,"i have been waiting for 15 mn ( no food menu , no cocktail menu , no one even say hi to me ).",waiting,neutral,12,19
257,"The Food The pan-Italian menu forgoes the appetizer-entree format in favor of fairly priced small plates, which quickly add up.",plates,negative,98,104
258,"calle ocho is definitely high on my list, the food and mojitos are excellent (the sangria is a miss, flor de sol has much better sangria) but the service leaves much to be desired.",service,negative,146,153
259,"If you hate waiting for a table, then get take-out just around the corner next door.",table,neutral,26,31
260,"Oh , do n't even let me start with how expensive the bills were !",bills,negative,53,58
261,"Dim, candlelit dining room is accented by a funky star pointed bar and multi-colored ceiling lamps, with trendy upbeat music in the background.",bar,neutral,63,66
262,"The atmosphere was a+, until a friend and I were rudely interrrupted and rushed out by the attendant at the door when the check was only returned to us just 5 mins.",attendant,negative,91,100
263,"The hummus was not flavorful and when we ran out of bread and asked for more, it never came.",hummus,negative,4,10
264,The hostess failed to inform us of that the restuarnt was hosting a private company party when we made the reservation.,hostess,negative,4,11
265,"Waited 30 min for a brick they call bread and water, another hour for food (tiiiiiiiny portions).",portions,negative,87,95
266,"Most of the servers are very attentive , friendly and quite attractive .",servers,positive,12,19
267,"Nothing on the menu jumped out at me, but when we tasted the chicken and the pork tenderloin.",menu,negative,15,19
268,"Aside from that, the service is adequate (visible, and will help you if you ask, but lack initiative), and the food, well, could be a lot worse.",food,negative,111,115
269,Definitely try the taglierini with truffles - it was incredible.,taglierini with truffles,positive,19,43
270,"The clean, sunny interior looks nothing like Jerry and the gang's dingy haunt, but it showcases fun ephemera like Seinfeld cast autographs and press clips on how the diner inspired the musical ode by Suzanne Vega.",interior,positive,17,25
271,"' When I reasoned with them that my dining partner already received her hot entree and was halfway done eating, and all I ordered was two rolls, the wait staff finally got the idea that maybe they should be trying to get me my order.",dining,neutral,36,42
272,"You can go to all these gormet places and eat expensive pizza this is the best cheese, sauce, bread its a done deal.",pizza,negative,56,61
273,The white bean brushetta to start was incredible and the pasta was phenomenal.,white bean brushetta,positive,4,24
274,Its a sicilian slice made with freshly grilled veggies which lie on top of a sumptous tomato sauce.,sicilian slice,neutral,6,20
